year,month,day,weekday,hour,minute,holiday,CALL_TYPE,direction,riding_time_mean,distance_mean,area_a,area_b,area_c_other,area_c_00,area_c_01,area_c_02,area_c_03,area_c_04,area_c_10,area_c_11,area_c_12,area_c_13,area_c_14,area_c_20,area_c_21,area_c_22,area_c_23,area_c_24,area_c_30,area_c_31,area_c_32,area_c_33,area_c_34,area_c_40,area_c_41,area_c_42,area_c_43,area_c_44
2013,7,1,mon,0,0,o,C,NE,528.0,6.5690545270000005,0,0,7,0,0,0,0,0,0,0,2,4,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0
2013,7,1,mon,0,15,o,C,NE,610.2272727000002,8.337646015,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,0,30,o,C,NE,752.1428571,8.380508853,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,0,45,o,C,NE,499.5,7.471468758999999,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
2013,7,1,mon,1,0,o,C,NE,709.5,8.667335312999999,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,1,15,o,C,NE,602.5,5.744669553,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,1,30,o,C,NE,546.0,5.105835946,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,1,45,o,C,NE,465.0,4.709527048,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,2,0,o,C,NE,681.6666667000002,6.2643585160000015,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0
2013,7,1,mon,2,15,o,C,NE,262.5,2.457670045,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,2,30,o,C,NE,695.625,9.131221319,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,7,1,mon,2,45,o,C,NE,1135.714286,15.17610564,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
